Timestamp,Distance (mm)
2024-05-27 14:25:41,161
2024-05-27 14:25:43,161
2024-05-27 14:25:45,159
2024-05-27 14:25:47,162
2024-05-27 14:25:49,159
2024-05-27 14:25:51,161
2024-05-27 14:25:53,159
2024-05-27 14:25:55,160
2024-05-27 14:25:57,158
2024-05-27 14:25:59,159
2024-05-27 14:26:01,161
2024-05-27 14:26:03,162
2024-05-27 14:26:05,159
2024-05-27 14:26:07,160
2024-05-27 14:26:09,160
2024-05-27 14:26:11,162
2024-05-27 14:26:13,159
2024-05-27 14:26:15,161
2024-05-27 14:26:17,162
2024-05-27 14:26:19,158
2024-05-27 14:26:21,160
2024-05-27 14:26:23,159
2024-05-27 14:26:25,161
2024-05-27 14:26:27,159
2024-05-27 14:26:29,161
2024-05-27 14:26:31,161
2024-05-27 14:26:33,159
2024-05-27 14:26:35,161
2024-05-27 14:26:37,158
2024-05-27 14:26:39,160
2024-05-27 14:26:41,159
2024-05-27 14:26:43,158
2024-05-27 14:26:45,161
2024-05-27 14:26:47,160
2024-05-27 14:26:49,160
2024-05-27 14:26:51,161
2024-05-27 14:26:53,159
2024-05-27 14:26:55,162
2024-05-27 14:26:57,161
2024-05-27 14:26:59,161
2024-05-27 14:27:01,158
2024-05-27 14:27:03,159
2024-05-27 14:27:05,159
2024-05-27 14:27:07,162
2024-05-27 14:27:09,159
2024-05-27 14:27:11,162
2024-05-27 14:27:13,160
2024-05-27 14:27:15,161
2024-05-27 14:27:17,159
2024-05-27 14:27:19,162
2024-05-27 14:27:21,161
2024-05-27 14:27:23,160
2024-05-27 14:27:25,161
2024-05-27 14:27:27,162
2024-05-27 14:27:29,162
2024-05-27 14:27:31,161
2024-05-27 14:27:33,159
2024-05-27 14:27:35,161
2024-05-27 14:27:37,160
2024-05-27 14:27:39,160
2024-05-27 14:27:41,162
2024-05-27 14:27:43,160
2024-05-27 14:27:45,160
2024-05-27 14:27:47,161
2024-05-27 14:27:49,161
2024-05-27 14:27:51,160
2024-05-27 14:27:53,161
2024-05-27 14:27:55,160
2024-05-27 14:27:57,162
2024-05-27 14:27:59,161
2024-05-27 14:28:01,160
2024-05-27 14:28:03,161
2024-05-27 14:28:05,161
2024-05-27 14:28:07,159
2024-05-27 14:28:09,161
2024-05-27 14:28:11,159
2024-05-27 14:28:13,160
2024-05-27 14:28:15,160
2024-05-27 14:28:17,161
2024-05-27 14:28:19,158
2024-05-27 14:28:21,161
2024-05-27 14:28:23,158
2024-05-27 14:28:25,159
2024-05-27 14:28:27,161
2024-05-27 14:28:29,161
2024-05-27 14:28:31,159
2024-05-27 14:28:33,160
2024-05-27 14:28:35,163
2024-05-27 14:28:37,160
2024-05-27 14:28:39,159
2024-05-27 14:28:41,161
2024-05-27 14:28:43,161
2024-05-27 14:28:45,161
2024-05-27 14:28:47,160
2024-05-27 14:28:49,158
2024-05-27 14:28:51,160
2024-05-27 14:28:53,160
2024-05-27 14:28:55,158
2024-05-27 14:28:57,160
2024-05-27 14:28:59,161
2024-05-27 14:29:01,161
2024-05-27 14:29:03,161
2024-05-27 14:29:05,160
2024-05-27 14:29:07,161
2024-05-27 14:29:09,161
2024-05-27 14:29:11,160
2024-05-27 14:29:13,161
2024-05-27 14:29:15,158
2024-05-27 14:29:17,159
2024-05-27 14:29:19,157
2024-05-27 14:29:21,160
2024-05-27 14:29:23,160
2024-05-27 14:29:25,160
2024-05-27 14:29:27,161
2024-05-27 14:29:29,162
2024-05-27 14:29:31,161
2024-05-27 14:29:33,163
2024-05-27 14:29:35,161
2024-05-27 14:29:37,160
2024-05-27 14:29:39,158
2024-05-27 14:29:41,160
2024-05-27 14:29:43,161
2024-05-27 14:29:45,160
2024-05-27 14:29:47,162
2024-05-27 14:29:49,159
2024-05-27 14:29:51,163
2024-05-27 14:29:53,160
2024-05-27 14:29:55,161
2024-05-27 14:29:57,163
2024-05-27 14:29:59,161
2024-05-27 14:30:01,161
2024-05-27 14:30:03,160
2024-05-27 14:30:05,160
2024-05-27 14:30:07,160
2024-05-27 14:30:09,162
2024-05-27 14:30:11,160
2024-05-27 14:30:13,162
2024-05-27 14:30:15,161
2024-05-27 14:30:17,163
2024-05-27 14:30:19,162
2024-05-27 14:30:21,159
2024-05-27 14:30:23,159
2024-05-27 14:30:25,160
2024-05-27 14:30:27,158
2024-05-27 14:30:29,162
2024-05-27 14:30:31,160
2024-05-27 14:30:33,160
2024-05-27 14:30:35,158
2024-05-27 14:30:37,162
2024-05-27 14:30:39,160
2024-05-27 14:30:41,162
2024-05-27 14:30:43,159
2024-05-27 14:30:45,159
2024-05-27 14:30:47,159
2024-05-27 14:30:49,158
2024-05-27 14:30:51,160
2024-05-27 14:30:53,161
2024-05-27 14:30:55,161
2024-05-27 14:30:57,159
2024-05-27 14:30:59,162
2024-05-27 14:31:01,160
2024-05-27 14:31:03,161
2024-05-27 14:31:05,162
2024-05-27 14:31:07,159
2024-05-27 14:31:09,161
2024-05-27 14:31:11,159
2024-05-27 14:31:13,159
2024-05-27 14:31:15,160
2024-05-27 14:31:17,161
2024-05-27 14:31:19,161
2024-05-27 14:31:21,158
2024-05-27 14:31:23,160
2024-05-27 14:31:25,161
2024-05-27 14:31:27,160
2024-05-27 14:31:29,160
2024-05-27 14:31:31,159
2024-05-27 14:31:33,160
2024-05-27 14:31:35,158
2024-05-27 14:31:37,159
2024-05-27 14:31:39,160
2024-05-27 14:31:41,159
2024-05-27 14:31:43,158
2024-05-27 14:31:45,160
2024-05-27 14:31:47,161
2024-05-27 14:31:49,159
2024-05-27 14:31:51,160
2024-05-27 14:31:53,161
2024-05-27 14:31:55,160
2024-05-27 14:31:57,160
2024-05-27 14:31:59,161
2024-05-27 14:32:01,161
2024-05-27 14:32:03,157
2024-05-27 14:32:05,162
2024-05-27 14:32:07,159
2024-05-27 14:32:09,160
2024-05-27 14:32:11,160
2024-05-27 14:32:13,163
2024-05-27 14:32:15,160
2024-05-27 14:32:17,160
